iteration,sp_time_s,avg_moves,examples,train_loss,pol_loss,val_loss,iter_time_s
99,219.8,46.6,2818,1.6411,1.6255,0.0156,228.8
100,191.9,44.8,2560,1.6252,1.6107,0.0145,292.0
101,200.3,45.5,2553,1.6183,1.6028,0.0155,209.5
102,208.8,45.6,2577,1.6163,1.6013,0.0149,218.0
103,221.7,46.8,2796,1.6255,1.6105,0.0150,230.8
104,226.7,48.5,2907,1.5989,1.5839,0.0149,236.1
105,200.3,45.4,2548,1.6081,1.5931,0.0150,289.7
106,207.9,45.8,2570,1.5819,1.5675,0.0144,217.2
107,214.6,45.6,2623,1.5837,1.5691,0.0146,224.0
108,202.1,45.6,2565,1.5743,1.5598,0.0146,211.6
109,217.9,46.4,2711,1.5786,1.5638,0.0149,227.3
110,195.6,45.6,2601,1.5568,1.5428,0.0140,271.6
111,209.1,46.7,2705,1.5694,1.5549,0.0145,218.6
112,209.1,46.6,2591,1.5501,1.5357,0.0145,218.9
113,211.8,46.6,2665,1.5270,1.5133,0.0137,221.5
114,180.6,44.9,2462,1.4932,1.4792,0.0139,190.2
115,213.6,46.7,2678,1.4734,1.4601,0.0133,299.5
116,215.6,46.0,2704,1.4521,1.4394,0.0127,225.1
117,207.7,45.9,2623,1.4229,1.4101,0.0128,217.3
118,193.0,44.9,2549,1.4122,1.3999,0.0123,202.6
119,215.6,45.7,2736,1.3950,1.3822,0.0127,225.1
120,214.9,46.5,2646,1.3748,1.3629,0.0119,300.1
121,213.2,45.3,2641,1.3502,1.3385,0.0117,222.7
122,222.9,47.4,2766,1.3294,1.3178,0.0116,232.4
123,203.9,45.5,2548,1.3308,1.3194,0.0114,213.4
124,206.3,45.6,2542,1.3158,1.3050,0.0108,215.9
125,192.7,45.3,2572,1.2877,1.2772,0.0105,284.5
126,202.8,46.7,2681,1.2838,1.2738,0.0100,212.3
127,195.9,45.4,2547,1.2641,1.2541,0.0099,205.4
128,197.6,44.9,2614,1.2545,1.2450,0.0094,207.1
129,188.4,44.1,2498,1.2393,1.2298,0.0095,198.0
130,215.1,45.8,2694,1.2235,1.2145,0.0090,307.6
131,217.3,47.5,2812,1.2122,1.2032,0.0090,226.7
132,209.6,46.0,2616,1.2123,1.2036,0.0087,219.4
133,209.9,46.2,2560,1.1974,1.1888,0.0085,219.5
134,191.5,44.6,2648,1.1782,1.1701,0.0081,201.0
135,186.4,45.6,2522,1.1690,1.1615,0.0075,263.0
136,202.5,44.8,2608,1.1643,1.1569,0.0074,212.4
137,188.8,44.6,2594,1.1551,1.1479,0.0073,198.7
138,213.2,45.8,2727,1.1464,1.1396,0.0069,222.9
139,195.2,44.7,2569,1.1339,1.1272,0.0067,205.1
140,212.7,45.8,2653,1.1294,1.1230,0.0064,300.8
141,196.5,45.4,2501,1.1286,1.1221,0.0064,206.4
142,213.8,45.6,2626,1.1085,1.1024,0.0061,223.9
143,198.3,45.7,2525,1.0970,1.0906,0.0064,208.4
144,199.7,44.6,2582,1.0956,1.0898,0.0058,209.6
145,199.1,45.1,2672,1.0912,1.0854,0.0057,277.0
146,197.2,45.0,2575,1.0764,1.0708,0.0056,206.7
147,206.9,46.0,2646,1.0783,1.0729,0.0054,216.5
148,207.6,46.0,2613,1.0666,1.0617,0.0049,217.1
149,186.9,44.6,2578,1.0640,1.0591,0.0049,196.3
150,209.2,46.1,2557,1.0673,1.0621,0.0051,290.4
151,199.6,44.6,2613,1.0542,1.0497,0.0045,209.2
152,191.4,44.9,2537,1.0576,1.0530,0.0046,200.9
153,205.8,45.2,2601,1.0479,1.0424,0.0055,215.3
154,192.1,45.3,2614,1.0550,1.0504,0.0045,201.6
155,201.8,45.4,2577,1.0500,1.0455,0.0046,289.8
156,189.1,44.8,2517,1.0338,1.0292,0.0046,198.7
157,197.9,44.8,2550,1.0285,1.0241,0.0043,207.5
158,200.1,45.2,2563,1.0285,1.0246,0.0039,209.8
159,200.0,45.4,2566,1.0284,1.0244,0.0039,209.4
160,219.7,45.9,2711,1.0235,1.0197,0.0037,314.7
161,194.2,44.9,2560,1.0234,1.0198,0.0035,203.7
162,196.3,45.3,2658,1.0103,1.0065,0.0038,205.8
163,195.9,44.7,2544,1.0185,1.0148,0.0037,205.3
164,209.7,45.6,2560,1.0207,1.0171,0.0036,219.1
165,214.1,45.4,2685,1.0198,1.0162,0.0036,295.3
166,202.4,44.9,2583,1.0130,1.0095,0.0034,212.0
167,199.6,45.4,2618,1.0153,1.0119,0.0034,208.9
168,186.2,45.2,2515,1.0013,0.9978,0.0036,195.6
169,204.1,45.4,2639,1.0007,0.9975,0.0032,213.4
170,197.7,44.7,2543,0.9988,0.9955,0.0033,289.9
171,188.4,45.3,2540,1.0113,1.0077,0.0036,197.8
172,190.6,45.0,2499,0.9997,0.9964,0.0033,200.0
173,197.3,44.9,2541,0.9987,0.9959,0.0028,206.6
174,207.9,45.1,2535,0.9911,0.9881,0.0030,217.3
175,180.4,44.5,2419,0.9930,0.9900,0.0030,267.2
176,203.1,45.1,2771,0.9918,0.9888,0.0030,212.4
177,189.2,45.0,2532,0.9864,0.9831,0.0033,198.5
178,189.1,45.2,2587,0.9871,0.9840,0.0031,198.5
179,187.3,45.2,2492,0.9878,0.9849,0.0029,196.6
180,183.8,45.1,2498,0.9722,0.9694,0.0028,262.9
181,196.1,44.4,2597,0.9843,0.9816,0.0027,205.5
